Price,propertyType,Location,Bedroom,bathroom,House size,Land size
KSh 350 000 000,Townhouse,Runda,4,4,,0.5 acres
KSh 30 000 000,Vacant Land,Karen,,,,0.5 acres
KSh 325 000 000,Vacant Land,Westlands,,,,0.5 acres
KSh 80 000 000,Townhouse,Kitisuru,5,5,,0.5 acres
KSh 25 500 000,Apartment,Kileleshwa,4,4,230 m²,
KSh 300 000 000,Townhuse,Runda,6,6,,0.5 acres
KSh 160 000 000,Townhouse,Runda,4,4,,0.5 acres
KSh 9 500 000,Apartment,Kilimani,2,2,105 m²,
KSh 150 000 000,Townhouse,Thigiri,4,4,,0.5 acres
KSh 42 000 000,Apartment,Kileleshwa,4,4,280 m²,
KSh 115 300 000,Townhouse,Kyuna,5,4,586 m²,
KSh 115 000 000,Townhouse,Nyari,5,5,,1 acres
KSh 35 000 000,Townhouse,Runda,4,4,,0.25 acres
KSh 220 000 000,Townhouse,Nyari,6,6,,0.75 acres
KSh 220 000 000,Townhouse,Nyari,6,6,,0.75 acres
KSh 9 500 000,Apartment,Kilimani,2,2,105 m²,
KSh 9 000 000,Apartment,Kilimani,2,2,90 m²,
KSh 7 200 000,Apartment,Kilimani,2,1,70 m²,
KSh 200 000 000,Townhouse,Runda,8,8,,1 acres
KSh 68 000 000,Townhouse,Lavington,4,3,"399 m²""",
KSh 28 390 000,Apartment,Westlands,3,2,203 m²,
KSh 17 500 000,Apartment,Westlands,4,3,230 m²,
KSh 28 390 000,Apartment,Westlands,3,4,203 m²,
KSh 115 000 000,Townhouse,Nyari,5,4,,1 acres
KSh 18 000 000,Vacant Land,Loresho,,,,0.12 acres
KSh 220 000 000,Townhouse,Nyari,6,6,,0.75 acres
KSh 200 000 000,Townhouse,Runda,8,7,,1 acres
KSh 38 000 000,Townhouse,Kitisuru,4,4,,0.5 acres
KSh 78 000 000,Townhouse,Lavington,5,3,300 m²,
KSh 75 000 000,Townhouse,Lavington,5,4,423 m²,
KSh 32 000 000,Apartment,Parklands,3,2,283 m²,
KSh 140 000 000,Townhouse,Lavington,5,3,385 m²,
KSh 9 000 000,Apartment,Kilimani,2,2,90 m²,
KSh 50 000 000,Vacant Land,Kitisuru,,,,0.5 acres
KSh 70 000 000,Vacant Land,Loresho,,,,0.56 acres
KSh 12 000 000,Apartment,Westlands,2,2,150 m²,
KSh 322 550 000,Townhouse,Kitisuru,4,3,,1.75 acres
KSh 380 000 000,Vacant Land,Westlands,,,,1 acres
KSh 8 700 000,Apartment,Riverside,1,1,50 m²,
KSh 160 000 000,Townhouse,Muthaiga North,4,3,,1 acres
KSh 160 000 000,Townhouse,Runda,4,4,,0.5 acres
KSh 240 000 000,Vacant Land,Rosslyn,,,,2 acres
KSh 12 000 000,Apartment,Westlands,2,2,90 m²,
KSh 8 000 000,Apartment,Westlands,1,1,57 m²,
KSh 12 600 000,Apartment,Westlands,2,1,90 m²,
KSh 7 000 000,Apartment,Kilimani,2,1,65 m²,
KSh 200 000 000,Townhouse,Runda,8,7,1 acres,
KSh 68 000 000,Townhouse,Lavington,4,3,399 m²,
KSh 18 330 000,Apartment,Westlands,2,1,141 m²,
KSh 25 500 000,Apartment,Kileleshwa,4,4,260 m²,
KSh 75 000 000,Townhouse,Lavington,5,4,,0.5 acres
KSh 140 000 000,Townhouse,Lavington,5,3,,0.5 acres
KSh 20 500 000,Apartment,Lavington,3,2,186 m²,
KSh 160 000 000,Townhouse,Runda,4,4,,0.5 acres
KSh 9 000 000,Apartment,Kilimani,2,2,105 m²,
KSh 150 000 000,Townhouse,Thigiri,4,4,,0.5 acres
KSh 7 000 000,Apartment,Kilimani,2,1,65 m²,
KSh 16 285 499,Apartment,Westlands,2,1,90 m²,
KSh 12 500 000,Apartment,Kilimani,2,1,96 m²,
KSh 23 500 000,Apartment,Kilimani,3,2,159 m²,
KSh 9 000 000,Apartment,Kileleshwa,2,2,86 m²,
KSh 33 500 000,Apartment,Kilimani,5,2,302 m²,
KSh 16 000 000,Apartment,Kileleshwa,3,2,160 m²,
KSh 21 500 000,Apartment,Kilimani,2,1,139 m²,
KSh 22 500 000,Apartment,Kilimani,3,2,202 m²,
KSh 16 000 000,Apartment,Kilimani,2,1,125 m²,
KSh 45 000 000,Vacant Land,Karen,,,,0.5 acres
KSh 24 000 000,Apartment,Lavington,4,2,223 m²,
KSh 17 500 000,Apartment,Westlands,4,2,230 m²,
KSh 62 500 000,Apartment,Kilimani,5,3,445 m²,
KSh 34 000 000,Apartment,Kileleshwa,4,2,338 m²,
KSh 5 700 000,Apartment,Kileleshwa,1,1,48 m²,
KSh 6 500 000,Apartment,Kileleshwa,1,1,65 m²,
KSh 13 500 000,Apartment,Riverside,2,2,101 m²,
KSh 70 000 000,Vacant Land,Loresho,,,,0.56 acres
KSh 16 000 000,Apartment,Kileleshwa,3,2,160 m²,
KSh 948 000 000,Vacant Land,Rosslyn,,,,7.9 acres
KSh 948 000 000,Vacant Land,Rosslyn,,,,7.9 acres
KSh 30 000 000,Vacant Land,Karen,,,,0.5 acres
KSh 142 000 000,Townhouse,Lavington,4,4,800 m²,0.5 acres
KSh 200 000 000,Townhouse,Runda,8,7,101 m²,
KSh 13 500 000,Apartment,Riverside,2,2,,1 acres
KSh 300 000 000,Townhouse,Muthaiga,5,5,,0.56 acres
KSh 70 000 000,Vacant Land,Loresho,,,,0.4 acres
KSh 45 000 000,Vacant Land,Kitisuru,,,,0.5 acres
KSh 9 000 000,Apartment,Kileleshwa,2,2,,
KSh 350 000 000,Townhouse,Runda,4,4,223 m²,
KSh 24 000 000,Apartment,Lavington,4,2,186 m²,
KSh 20 500 000,Apartment,Lavington,3,2,,0.5 acres
KSh 325 000 000,Vacant Land,Westlands,,,,0.5 acres
KSh 300 000 000,Townhouse,Runda,6,6,,0.5 acres
KSh 100 000 000,Townhouse,Karen,5,5,86 m²,
KSh 8 500 000,Apartment,Lavington,2,1,,0.5 acres
KSh 90 000 000,Townhouse,Karen,4,4,61 m²,
KSh 6 500 000,Apartment,Lavington,1,1,1,0.5 acres
KSh 350 000 000,Townhouse,Runda,4,4,,1 acres
KSh 350 000 000,Vacant Land,Westlands,,,,
KSh 23 500 000,Apartment,Kilimani,3,2,230 m²,
KSh 17 500 000,Apartment,Westlands,4,2,,0.5 acres
KSh 90 000 000,Townhouse,Karen,4,4,,
KSh 33 500 000,Apartment,Kilimani,5,2,302 m²,
KSh 22 500 000,Apartment,Kilimani,3,2,202 m²,
KSh 16 000 000,Apartment,Kilimani,2,1,125 m²,
KSh 25 000 000,Apartment,Kilimani,3,2,150 m²,
KSh 39 000 000,Apartment,Kilimani,5,2,150 m²,
KSh 68 000 000,Townhouse,Lavington,4,3,399 m²,
KSh 16 000 000,Apartment,Kilimani,2,1,125 m²,
KSh 200 000 000,Townhouse,Runda,8,7,,0.5 acres
KSh 38 000 000,Townhouse,Kitisuru,4,4,,0.5 acres
