V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,0,0,24,0,2432,46500,24,1385,SC,0,12.75,FEMALE,HOUSEWIFE,OWNED,30-05-1974,40,1,1,0,,0,,,46500,,,0,0,0,TIER 1,0
2,0,1,24,1,1495,28168,24,2496,MO,0,13.65,MALE,SELF,RENT,01-09-1967,47,1,1,0,,0,,,28168,,,0,0,0,TIER 1,0
3,0,0,26,0,1707,38900,30,1346,SC,0,12.65,MALE,SELF,RENT,04-05-1983,31,9,6,3,55000,0,,105000,38900,34,31,31,31,16,TIER 1,0
4,0,0,24,0,2128,42900,24,1375,SC,2,9.5,FEMALE,SAL,RENT,10-12-1989,24,1,1,0,,0,,,42900,,,0,0,0,TIER 1,0
5,0,0,27,0,1824,40900,30,4140,MC,0,13.5,MALE,SAL,RENT,24-09-1984,30,1,1,0,,0,,,40900,,,0,0,0,TIER 1,0
6,0,2,28,3,1802,40800,30,4140,SC,0,13,FEMALE,SELF,RENT,03-04-1983,31,1,1,0,,0,,,40800,,,0,0,0,TIER 1,0
7,0,1,26,2,2047,45900,30,2332,SC,0,13.5,MALE,SAL,RENT,05-10-1964,50,2,1,1,,0,,,45900,,26,1,0,0,TIER 1,0
8,0,0,24,0,2410,45900,24,4140,SC,0,13,MALE,SAL,OWNED,12-11-1976,38,1,1,0,,0,,,45900,,,0,0,0,TIER 1,0
9,0,0,23,0,1255,23900,24,3712,MO,0,13,MALE,SELF,RENT,14-07-1988,26,2,1,1,,0,,,23900,,53,0,0,0,TIER 1,0
10,0,1,18,2,1748,25000,18,3409,MO,0,17.2,MALE,SELF,OWNED,11-01-1994,20,1,1,0,,0,,,25000,,,0,0,0,TIER 1,0
11,0,2,24,2,1528,27281,24,3343,MO,0,17.2,MALE,SELF,OWNED,01-01-1963,51,1,1,0,,0,,,27281,,,1,0,0,TIER 1,0
12,0,0,23,0,2181,46355,27,4052,MC,3,11.99,MALE,SAL,OWNED,12-09-1990,24,1,1,0,,0,,,46355,,,0,0,0,TIER 1,0
13,0,0,23,0,1146,22000,24,1385,MO,0,12.5,MALE,SELF,OWNED,15-08-1973,41,2,1,1,,0,,,22000,,50,0,0,0,TIER 1,0
14,0,0,24,0,1230,23800,24,3345,MO,0,12,MALE,SELF,RENT,05-04-1981,33,1,1,0,,0,,,23800,,,0,0,0,TIER 1,0
15,0,0,26,0,1908,43600,30,4069,SC,0,12.5,FEMALE,SAL,RENT,15-05-1963,51,1,1,0,,0,,,43600,,,0,0,0,TIER 1,0
16,0,3,23,4,1208,23000,24,1627,MO,0,13,MALE,SELF,RENT,24-10-1980,34,1,1,0,,0,,,23000,,,0,0,0,TIER 1,0
17,0,0,27,5,2514,56900,30,4140,MC,0,13,MALE,SAL,RENT,29-06-1992,22,2,1,1,,0,,,56900,,52,0,0,0,TIER 1,0
18,0,0,29,0,1985,43300,30,4140,MC,0,15,MALE,SAL,OWNED,06-05-1986,28,12,2,8,71120,0,,71120,43300,,61,0,0,0,TIER 1,0
19,0,1,24,1,1528,27281,24,1434,MO,0,17.2,MALE,SELF,OWNED,10-05-1972,42,1,1,0,,0,,,27281,,,0,0,0,TIER 1,0
20,0,0,26,0,2054,46500,30,4140,SC,0,13,MALE,SAL,RENT,05-11-1983,31,1,1,0,,0,,,46500,,,0,0,0,TIER 1,0
21,0,0,34,1,1775,45000,36,1387,MC,0,14,MALE,SAL,RENT,01-01-1969,45,7,1,5,125000,0,,207489,45000,24,38,0,0,0,TIER 1,0
22,0,0,28,0,2009,41800,30,1378,MC,0,17.65,MALE,SELF,OWNED,20-02-1992,22,1,1,0,,0,,,41800,,,0,0,0,TIER 4,0
23,1,0,23,2,1528,27281,24,1453,MO,0,17.2,MALE,SELF,OWNED,10-09-1977,37,4,1,0,,0,,,27281,,,0,0,0,TIER 1,0
24,0,0,31,3,1601,41900,36,1377,SC,1,12.5,FEMALE,SAL,RENT,01-12-1976,37,1,1,0,,0,,,41900,,,0,0,0,TIER 4,0
25,0,0,28,0,2009,41800,30,1378,MC,0,17.65,MALE,SAL,OWNED,07-05-1982,32,1,1,0,,0,,,41800,,,0,0,0,TIER 4,0
26,0,2,32,3,1535,37700,36,1626,MC,0,15.5,MALE,SELF,OWNED,01-06-1965,49,2,1,0,37700,0,37700,,37700,,,6,0,0,TIER 4,0
27,0,0,29,0,2359,52900,30,2855,MC,0,13.5,MALE,STUDENT,RENT,05-03-1993,21,1,1,0,,0,,,52900,,,0,0,0,TIER 4,0
28,0,0,22,0,2339,44900,24,1377,MC,1,12.5,FEMALE,HOUSEWIFE,OWNED,09-03-1978,36,1,1,0,,0,,,44900,,,0,0,0,TIER 4,0
29,0,0,28,0,2050,42400,30,1379,MC,0,18,MALE,SELF,OWNED,22-02-1982,32,1,1,0,,0,,,42400,,,0,0,0,TIER 4,0
30,0,0,26,0,2114,47400,30,1379,SC,0,13.5,MALE,SAL,RENT,01-09-1987,27,2,2,0,,0,,,47400,,,0,0,0,TIER 4,0
